block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,key_resp_block_practice.keys,key_resp_block_practice.rt,key_resp_block_practice.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,refresh.stopped,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,text_refresh.stopped,fixation.started,text_fixation.started,text_fixation.stopped,fixation.stopped,block_practice.started,image_block_practice.started,key_resp_block_practice.started,block_practice.stopped,loop_block_practice.key_resp_block_practice.keys,loop_block_practice.key_resp_block_practice.rt,loop_block_practice.key_resp_block_practice.duration,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice1.started,textbox_answer_block_practice2.started,textbox_answer_block_practice3.started,button_text_block_practice.started,mouse_block_practice.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008929124999667692,0.013544124999953056,0.013544124999953056,0.9353507910000189,space,0.901810917000148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.935395250000056,0.9512037499998769,1.1431019159999778,,,,,,,,,,,,,,,,,,,,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1431356250000135,1.1467821659998663,1.1467821659998663,1.7303705409999566,space,0.5812031249997744,None,,,,,,,,,,,,,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7304061249997176,1.7415917079997598,1.9267267499999434,,,,,,,,1.938649415999862,,,,,,,,,,,,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,0,0,0,1,faces/HAM1.bmp,happy,male,begin,nonBI,non,non,begin,non,space,0.4640074580001965,None,0,0,0,0,0,0,0,0,2.9414354159998766,,,,,,,,,3.411157125000045,3.4166095000000496,3.6105418749998535,,,,,,,,3.615703540999675,1.9331944159998784,1.938649415999862,2.9414354159998766,2.926920375000009,2.9387014159997307,2.9414354159998766,2.9414354159998766,3.4111112079999657,space,0.4640074580001965,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,1,1,0,2,faces/NEF6.bmp,neutral,female,s,nonBI,happy,non,hn,hns1,space,0.19443908299990653,None,0,0,0,0,0,1,1,1,3.615703540999675,,,,,,,,,3.8113927909998893,3.8137726249997286,3.9977855409997574,,,,,,,,4.008913540999856,,,,,3.6128618749999077,3.615703540999675,3.615703540999675,3.811347708000085,space,0.19443908299990653,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,2,2,0,3,faces/SAF2.bmp,sad,female,s,control,neutral,happy,ns,hns,space,0.22451600000022154,None,0,0,0,0,0,2,2,2,4.008913540999856,,,,,,,,,4.2442533329999605,4.2490940409998075,4.443657750000057,,,,,,,,4.446903499999735,,,,,3.999663749999854,4.008913540999856,4.008913540999856,4.24420337499987,space,0.22451600000022154,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,3,3,0,4,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.20333808299983502,None,0,0,0,0,0,3,3,3,4.446903499999735,,,,,,,,,4.6610652079998545,4.666201041000022,4.860695249999935,,,,,,,,4.86513529099966,,,,,4.445093583000016,4.446903499999735,4.446903499999735,4.661027624999861,space,0.20333808299983502,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,4,4,0,5,faces/SAM1.bmp,sad,male,ns,nonBI,sad,sad,ss,non,space,0.2036082089998672,None,0,0,0,0,0,4,4,4,4.86513529099966,,,,,,,,,5.077932749999945,5.083270457999788,5.27726308299998,,,,,,,,5.281588332999945,,,,,4.862522375000026,4.86513529099966,4.86513529099966,5.077881875000003,space,0.2036082089998672,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,5,5,0,6,faces/NEF9.bmp,neutral,female,s,nonBI,sad,sad,sn,sns1,space,0.1806407499998386,None,0,0,0,0,0,5,5,5,5.281588332999945,,,,,,,,,5.465657958000065,5.475491499999862,5.660162958000001,,,,,,,,5.676805915999921,,,,,5.278999957999986,5.281588332999945,5.281588332999945,5.465615832999902,space,0.1806407499998386,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,6,6,0,7,faces/SAM6.bmp,sad,male,s,BI,neutral,sad,ns,sns,space,0.21869174999983443,None,0,0,0,0,0,6,6,6,5.676805915999921,,,,,,,,,5.898290749999887,5.908738665999863,6.093591708000076,,,,,,,,6.09790083300004,,,,,5.672783415999675,5.676805915999921,5.676805915999921,5.89825029099984,space,0.21869174999983443,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,7,7,0,8,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.21631258299976253,None,0,0,0,0,0,7,7,7,6.09790083300004,,,,,,,,,6.3155953749997025,6.325547665999693,6.5104058329998225,,,,,,,,6.514196041000105,,,,,6.09505874999968,6.09790083300004,6.09790083300004,6.315551790999962,space,0.21631258299976253,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,8,8,0,9,faces/NEM4.bmp,neutral,male,s,nonBI,sad,sad,sn,snh1,space,0.205607332999989,None,0,0,0,0,0,8,8,8,6.514196041000105,,,,,,,,,6.728140207999786,6.733627207999689,6.927319541000088,,,,,,,,6.9311097079998945,,,,,6.511745374999919,6.514196041000105,6.514196041000105,6.728098249999675,space,0.205607332999989,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,9,9,0,10,faces/HAF59.bmp,happy,female,s,control,neutral,sad,nh,snh,space,0.23896383300007074,None,0,0,0,0,0,9,9,9,6.9311097079998945,,,,,,,,,7.178306249999878,7.183912415999657,7.377239832999749,,,,,,,,7.389841374999833,,,,,6.928690833000019,6.9311097079998945,6.9311097079998945,7.178262707999693,space,0.23896383300007074,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,10,10,0,11,faces/HAF107.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,space,0.1577907089999826,None,0,0,0,0,0,10,10,10,7.389841374999833,,,,,,,,,7.56125024999983,7.566210957999829,7.7608187499999985,,,,,,,,7.764985374999924,,,,,7.386628124999788,7.389841374999833,7.389841374999833,7.561208249999709,space,0.1577907089999826,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,11,11,0,12,faces/HAM9.bmp,happy,male,ns,nonBI,happy,happy,hh,non,space,0.23058383299985508,None,0,0,0,0,0,11,11,11,7.764985374999924,,,,,,,,,7.998841124999672,8.009076082999854,8.194121707999784,,,,,,,,8.198271207999824,,,,,7.7627281249997395,7.764985374999924,7.764985374999924,7.99879295799974,space,0.23058383299985508,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,12,12,0,13,faces/NEM5.bmp,neutral,male,s,nonBI,happy,happy,hn,hnh1,space,0.1712662499999169,None,0,0,0,0,0,12,12,12,8.198271207999824,,,,,,,,,8.378278082999714,8.383562915999846,8.577512750000096,,,,,,,,8.581261750000067,,,,,8.195741790999818,8.198271207999824,8.198271207999824,8.37823437499992,space,0.1712662499999169,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,13,13,0,14,faces/HAM38.bmp,happy,male,s,BI,neutral,happy,nh,hnh,space,0.1805302079997091,None,0,0,0,0,0,13,13,13,8.581261750000067,,,,,,,,,8.764466415999777,8.775660875000085,8.960725832999742,,,,,,,,8.972072707999814,,,,,8.578944957999738,8.581261750000067,8.581261750000067,8.764426875000026,space,0.1805302079997091,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,14,14,0,15,faces/HAF110.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,space,0.19339808299992,None,0,0,0,0,0,14,14,14,8.972072707999814,,,,,,,,,9.178548749999663,9.184266624999964,9.37762049999992,,,,,,,,9.382118582999738,,,,,8.968654332999904,8.972072707999814,8.972072707999814,9.17850187499971,space,0.19339808299992,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,15,15,0,16,faces/SAM7.bmp,sad,male,s,nonBI,happy,happy,hs,hsn1,space,0.15745262500013268,None,0,0,0,0,0,15,15,15,9.382118582999738,,,,,,,,,9.545002290999946,9.550465708000047,9.74417608299973,,,,,,,,9.74829279100004,,,,,9.379472957999951,9.382118582999738,9.382118582999738,9.54494933299975,space,0.15745262500013268,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,16,16,0,17,faces/NEF35.bmp,neutral,female,s,control,sad,happy,sn,hsn,space,0.2309867500002838,None,0,0,0,0,0,16,16,16,9.74829279100004,,,,,,,,,9.982202332999805,9.99262754099982,10.177286207999714,,,,,,,,10.180422707999696,,,,,9.745664041000055,9.74829279100004,9.74829279100004,9.982157874999757,space,0.2309867500002838,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
block_practice_1.xlsx,688,17,17,0,18,faces/NEM6.bmp,neutral,male,ns,nonBI,neutral,sad,nn,non,space,0.1997595419998106,None,0,0,0,0,0,17,17,17,10.180422707999696,,,,,,,,,10.382644875000096,10.392602665999675,10.577500957999746,,,,,,,,10.589370832999975,,,,,10.178525915999671,10.180422707999696,10.180422707999696,10.38260312500006,space,0.1997595419998106,None,,,,,,,,153859,001,2025-08-01_17h22.07.218,TIST,2024.2.4,None,2025-08-01 17h22.26.195617 +0800,
