block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,textbox_answer_block_practice1.text,textbox_answer_block_practice2.text,textbox_answer_block_practice3.text,mouse_block_practice.x,mouse_block_practice.y,mouse_block_practice.leftButton,mouse_block_practice.midButton,mouse_block_practice.rightButton,mouse_block_practice.time,mouse_block_practice.clicked_name,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,fixation.started,text_fixation.started,fixation.stopped,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice1.started,textbox_answer_block_practice2.started,textbox_answer_block_practice3.started,button_text_block_practice.started,mouse_block_practice.started,answer_block_practice.stopped,loop_practice.textbox_answer_block_practice1.text,loop_practice.textbox_answer_block_practice2.text,loop_practice.textbox_answer_block_practice3.text,loop_practice.mouse_block_practice.x,loop_practice.mouse_block_practice.y,loop_practice.mouse_block_practice.leftButton,loop_practice.mouse_block_practice.midButton,loop_practice.mouse_block_practice.rightButton,loop_practice.mouse_block_practice.time,loop_practice.mouse_block_practice.clicked_name,num_correct,feedback_block_practice.started,text_feedback_block_practice.started,text_feedback_note_practice.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006675042000097164,0.013158042000100068,0.013158042000100068,0.7598077080000394,space,0.7249278749999348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7598586249999926,0.7633237500000405,0.7633237500000405,1.4100321250000434,space,0.6332274580000785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,0,0,0,1,faces/HAM1.bmp,happy,male,begin,nonBI,non,non,begin,non,0,0,0,0,,,,,,,,,,,0,0,0,0,2.43850400000008,,,,,,,,,,,,,,,,1.4167328330000828,1.4292407500000763,2.413831625000057,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,1,1,0,2,faces/NEF6.bmp,neutral,female,s,nonBI,happy,non,hn,hns1,0,0,0,0,,,,,,,,,,,0,1,1,1,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,2,2,0,3,faces/SAF2.bmp,sad,female,s,control,neutral,happy,ns,hns,0,0,0,0,,,,,,,,,,,0,2,2,2,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,3,3,0,4,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,0,0,0,0,,,,,,,,,,,0,3,3,3,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,4,4,0,5,faces/SAM1.bmp,sad,male,ns,nonBI,sad,sad,ss,non,0,0,0,0,,,,,,,,,,,0,4,4,4,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,5,5,0,6,faces/NEF9.bmp,neutral,female,s,nonBI,sad,sad,sn,sns1,0,0,0,0,,,,,,,,,,,0,5,5,5,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,6,6,0,7,faces/SAM6.bmp,sad,male,s,BI,neutral,sad,ns,sns,0,0,0,0,,,,,,,,,,,0,6,6,6,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,7,7,0,8,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,0,0,0,0,,,,,,,,,,,0,7,7,7,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,8,8,0,9,faces/NEM4.bmp,neutral,male,s,nonBI,sad,sad,sn,snh1,0,0,0,0,,,,,,,,,,,0,8,8,8,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,9,9,0,10,faces/HAF59.bmp,happy,female,s,control,neutral,sad,nh,snh,0,0,0,0,,,,,,,,,,,0,9,9,9,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
