block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,key_resp_block_practice.keys,key_resp_block_practice.rt,key_resp_block_practice.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,textbox_answer_block_practice1.text,textbox_answer_block_practice2.text,textbox_answer_block_practice3.text,mouse_block_practice.x,mouse_block_practice.y,mouse_block_practice.leftButton,mouse_block_practice.midButton,mouse_block_practice.rightButton,mouse_block_practice.time,mouse_block_practice.clicked_name,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,refresh.stopped,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,text_refresh.stopped,fixation.started,text_fixation.started,text_fixation.stopped,fixation.stopped,block_practice.started,image_block_practice.started,key_resp_block_practice.started,block_practice.stopped,loop_block_practice.key_resp_block_practice.keys,loop_block_practice.key_resp_block_practice.rt,loop_block_practice.key_resp_block_practice.duration,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice1.started,textbox_answer_block_practice2.started,textbox_answer_block_practice3.started,button_text_block_practice.started,mouse_block_practice.started,answer_block_practice.stopped,loop_practice.textbox_answer_block_practice1.text,loop_practice.textbox_answer_block_practice2.text,loop_practice.textbox_answer_block_practice3.text,loop_practice.mouse_block_practice.x,loop_practice.mouse_block_practice.y,loop_practice.mouse_block_practice.leftButton,loop_practice.mouse_block_practice.midButton,loop_practice.mouse_block_practice.rightButton,loop_practice.mouse_block_practice.time,loop_practice.mouse_block_practice.clicked_name,num_correct,feedback_block_practice.started,text_feedback_block_practice.started,text_feedback_note_practice.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008355208000011771,0.016633458000114842,0.016633458000114842,0.6342872919999536,space,0.5985191669999494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.634343582999918,0.6495589579999432,0.8450713330000781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8451052499999605,0.8481883330000528,0.8481883330000528,1.3667905419999897,space,0.5150244579999708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3668226249999407,1.3775857079999696,1.5622948749999068,,,,,,,,1.574999666999929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,0,0,0,1,faces/HAM1.bmp,happy,male,begin,nonBI,non,non,begin,non,space,0.31731662500010316,None,0,0,0,0,,,,,,,,,,,0,0,0,0,2.575490582999919,,,,,,,,,2.8963730000000396,2.9015174169999227,3.0958080000000336,,,,,,,,3.1005651670000134,1.5691240000001017,1.574999666999929,2.575490582999919,2.562186082999915,2.573163999999906,2.575490582999919,2.575490582999919,2.8963275830001294,space,0.31731662500010316,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,1,1,0,2,faces/NEF6.bmp,neutral,female,s,nonBI,happy,non,hn,hns1,space,0.2127861250000933,None,0,0,0,0,,,,,,,,,,,0,1,1,1,3.1005651670000134,,,,,,,,,3.317668041999923,3.3274246670000593,3.5123278749999827,,,,,,,,3.51626120800006,,,,,3.097702625000011,3.1005651670000134,3.1005651670000134,3.317622541999981,space,0.2127861250000933,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,2,2,0,3,faces/SAF2.bmp,sad,female,s,control,neutral,happy,ns,hns,space,0.15865995900003327,None,0,0,0,0,,,,,,,,,,,0,2,2,2,3.51626120800006,,,,,,,,,3.679749749999928,3.684808333000092,3.8791927500001293,,,,,,,,3.8832887500000197,,,,,3.5139216249999663,3.51626120800006,3.51626120800006,3.679700749999938,space,0.15865995900003327,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,3,3,0,4,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.164878791999854,None,0,0,0,0,,,,,,,,,,,0,3,3,3,3.8832887500000197,,,,,,,,,4.050894666999966,4.060807833000126,4.245910999999978,,,,,,,,4.250229250000075,,,,,3.880667166999956,3.8832887500000197,3.8832887500000197,4.050849582999945,space,0.164878791999854,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,4,4,0,5,faces/SAM1.bmp,sad,male,ns,nonBI,sad,sad,ss,non,space,0.17259183299984215,None,0,0,0,0,,,,,,,,,,,0,4,4,4,4.250229250000075,,,,,,,,,4.430012708000049,4.435486583000056,4.629285375000109,,,,,,,,4.6338804580000215,,,,,4.247546916999909,4.250229250000075,4.250229250000075,4.429968832999975,space,0.17259183299984215,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,5,5,0,6,faces/NEF9.bmp,neutral,female,s,nonBI,sad,sad,sn,sns1,space,0.1813833749999958,None,0,0,0,0,,,,,,,,,,,0,5,5,5,4.6338804580000215,,,,,,,,,4.817278624999972,4.827598583000054,5.012045082999975,,,,,,,,5.025907666999956,,,,,4.631272166999906,4.6338804580000215,4.6338804580000215,4.817227958000103,space,0.1813833749999958,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
