block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,key_resp_block_practice.keys,key_resp_block_practice.rt,key_resp_block_practice.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,textbox_answer_block_practice1.text,textbox_answer_block_practice2.text,textbox_answer_block_practice3.text,mouse_block_practice.x,mouse_block_practice.y,mouse_block_practice.leftButton,mouse_block_practice.midButton,mouse_block_practice.rightButton,mouse_block_practice.time,mouse_block_practice.clicked_name,key_resp.keys,key_resp.rt,key_resp.duration,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,refresh.stopped,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,text_refresh.stopped,fixation.started,text_fixation.started,text_fixation.stopped,fixation.stopped,block_practice.started,image_block_practice.started,key_resp_block_practice.started,block_practice.stopped,loop_block_practice.key_resp_block_practice.keys,loop_block_practice.key_resp_block_practice.rt,loop_block_practice.key_resp_block_practice.duration,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice1.started,textbox_answer_block_practice2.started,textbox_answer_block_practice3.started,button_text_block_practice.started,mouse_block_practice.started,answer_block_practice.stopped,loop_practice.textbox_answer_block_practice1.text,loop_practice.textbox_answer_block_practice2.text,loop_practice.textbox_answer_block_practice3.text,loop_practice.mouse_block_practice.x,loop_practice.mouse_block_practice.y,loop_practice.mouse_block_practice.leftButton,loop_practice.mouse_block_practice.midButton,loop_practice.mouse_block_practice.rightButton,loop_practice.mouse_block_practice.time,loop_practice.mouse_block_practice.clicked_name,num_correct,feedback_block_practice.started,text_feedback_block_practice.started,text_feedback_note_practice.started,key_resp.started,feedback_block_practice.stopped,loop_practice.key_resp.keys,loop_practice.key_resp.rt,loop_practice.key_resp.duration,continue_check.started,image_continue_check.started,key_resp_continue_check.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008087832999990496,0.014960083000005397,0.014960083000005397,0.7209599999999909,space,0.6862499999999727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577004,001,2025-08-01_17h39.43.562,TIST,2024.2.4,None,2025-08-01 17h39.48.745456 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7210084159999042,0.7361831249999113,0.9262918329999366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577004,001,2025-08-01_17h39.43.562,TIST,2024.2.4,None,2025-08-01 17h39.48.745456 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9263285829999859,0.9303726249999045,0.9303726249999045,1.7612939159999996,space,0.8209663750000118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577004,001,2025-08-01_17h39.43.562,TIST,2024.2.4,None,2025-08-01 17h39.48.745456 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7613338329999806,1.7733032499999126,1.960283957999991,,,,,,,,1.9731972499999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577004,001,2025-08-01_17h39.43.562,TIST,2024.2.4,None,2025-08-01 17h39.48.745456 +0800,
block_practice_1.xlsx,688,0,0,0,1,faces/HAM1.bmp,happy,male,begin,nonBI,non,non,begin,non,space,0.41258074999996097,None,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,2.973967958000003,,,,,,,,,3.394840457999976,3.4007877909999706,3.5936930409999377,,,,,,,,3.597900832999926,1.967361457999914,1.9731972499999983,2.973967958000003,2.9603207909999583,2.9721223749999126,2.973967958000003,2.973967958000003,3.3947851249999985,space,0.41258074999996097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577004,001,2025-08-01_17h39.43.562,TIST,2024.2.4,None,2025-08-01 17h39.48.745456 +0800,
block_practice_1.xlsx,688,1,1,0,2,faces/NEF6.bmp,neutral,female,s,nonBI,happy,non,hn,hns1,space,0.3302427920000355,None,0,0,0,0,,,,,,,,,,,,,,0,1,1,1,3.597900832999926,,,,,,,,,3.9316042079999534,3.942071665999947,4.126575124999931,,,,,,,,4.130699332999939,,,,,3.595491332999927,3.597900832999926,3.597900832999926,3.931554915999982,space,0.3302427920000355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577004,001,2025-08-01_17h39.43.562,TIST,2024.2.4,None,2025-08-01 17h39.48.745456 +0800,
block_practice_1.xlsx,688,2,2,0,3,faces/SAF2.bmp,sad,female,s,control,neutral,happy,ns,hns,space,0.21597045800001524,None,0,0,0,0,,,,,,,,,,,,,,0,2,2,2,4.130699332999939,,,,,,,,,4.348536582999941,4.358859290999931,4.543662916000017,,,,,,,,4.547262749999959,,,,,4.12789958299993,4.130699332999939,4.130699332999939,4.348494999999957,space,0.21597045800001524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577004,001,2025-08-01_17h39.43.562,TIST,2024.2.4,None,2025-08-01 17h39.48.745456 +0800,
block_practice_1.xlsx,688,3,3,0,4,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.23274079099996925,None,0,0,0,0,,,,,,,,,,,,,,0,3,3,3,4.547262749999959,,,,,,,,,4.782188665999911,4.792191749999915,4.977248957999905,,,,,,,,4.981555624999942,,,,,4.545003749999978,4.547262749999959,4.547262749999959,4.782141082999942,space,0.23274079099996925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577004,001,2025-08-01_17h39.43.562,TIST,2024.2.4,None,2025-08-01 17h39.48.745456 +0800,
block_practice_1.xlsx,688,4,4,0,5,faces/SAM1.bmp,sad,male,ns,nonBI,sad,sad,ss,non,space,0.2644914579999522,None,0,0,0,0,,,,,,,,,,,,,,0,4,4,4,4.981555624999942,,,,,,,,,5.248314124999979,5.258886332999964,5.443892415999926,,,,,,,,5.4482535409999855,,,,,4.978995999999938,4.981555624999942,4.981555624999942,5.248263665999957,space,0.2644914579999522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577004,001,2025-08-01_17h39.43.562,TIST,2024.2.4,None,2025-08-01 17h39.48.745456 +0800,
block_practice_1.xlsx,688,5,5,0,6,faces/NEF9.bmp,neutral,female,s,nonBI,sad,sad,sn,sns1,space,0.1725464579999425,None,0,0,0,0,,,,,,,,,,,,,,0,5,5,5,5.4482535409999855,,,,,,,,,5.627776290999918,5.633019082999908,5.827188707999994,,,,,,,,5.8446293329999435,,,,,5.445417665999912,5.4482535409999855,5.4482535409999855,5.627739165999969,space,0.1725464579999425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577004,001,2025-08-01_17h39.43.562,TIST,2024.2.4,None,2025-08-01 17h39.48.745456 +0800,
block_practice_1.xlsx,688,6,6,0,7,faces/SAM6.bmp,sad,male,s,BI,neutral,sad,ns,sns,space,0.2569979999999532,None,0,0,0,0,,,,,,,,,,,,,,0,6,6,6,5.8446293329999435,,,,,,,,,6.111512415999982,6.117140415999984,6.310615124999913,,,,,,,,6.3157429159999765,,,,,5.8403461660000175,5.8446293329999435,5.8446293329999435,6.111454083000012,space,0.2569979999999532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577004,001,2025-08-01_17h39.43.562,TIST,2024.2.4,None,2025-08-01 17h39.48.745456 +0800,
block_practice_1.xlsx,688,7,7,0,8,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.21987783299994135,None,0,0,0,0,,,,,,,,,,,,,,0,7,7,7,6.3157429159999765,,,,,,,,,6.544725416000006,6.550189124999974,6.743900332999942,,,,,,,,6.748528499999907,,,,,6.313227874999939,6.3157429159999765,6.3157429159999765,6.5446746249999705,space,0.21987783299994135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577004,001,2025-08-01_17h39.43.562,TIST,2024.2.4,None,2025-08-01 17h39.48.745456 +0800,
block_practice_1.xlsx,688,8,8,0,9,faces/NEM4.bmp,neutral,male,s,nonBI,sad,sad,sn,snh1,space,0.2973367499999995,None,0,0,0,0,,,,,,,,,,,,,,0,8,8,8,6.748528499999907,,,,,,,,,7.048719666000011,7.059062874999995,7.243886624999959,,,,,,,,7.248078374999977,,,,,6.7455299160000095,6.748528499999907,6.748528499999907,7.048671207999973,space,0.2973367499999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577004,001,2025-08-01_17h39.43.562,TIST,2024.2.4,None,2025-08-01 17h39.48.745456 +0800,
