block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,key_resp_block_practice.keys,key_resp_block_practice.rt,key_resp_block_practice.duration,textbox_answer_block_practice.text,mouse_block_practice.x,mouse_block_practice.y,mouse_block_practice.leftButton,mouse_block_practice.midButton,mouse_block_practice.rightButton,mouse_block_practice.time,mouse_block_practice.clicked_name,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_continue_check.keys,key_resp_continue_check.rt,key_resp_continue_check.duration,block_file,key_resp_block.keys,key_resp_block.rt,key_resp_block.duration,textbox_answer_block.text,mouse_answer_block.x,mouse_answer_block.y,mouse_answer_block.leftButton,mouse_answer_block.midButton,mouse_answer_block.rightButton,mouse_answer_block.time,mouse_answer_block.clicked_name,key_resp_feedback_block.keys,key_resp_feedback_block.rt,key_resp_feedback_block.duration,key_resp_contiue_check_block.keys,key_resp_contiue_check_block.rt,key_resp_contiue_check_block.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,loop_primary.thisRepN,loop_primary.thisTrialN,loop_primary.thisN,loop_primary.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,fixation.started,text_fixation.started,fixation.stopped,block_practice.started,image_block_practice.started,key_resp_block_practice.started,block_practice.stopped,loop_block_practice.key_resp_block_practice.keys,loop_block_practice.key_resp_block_practice.rt,loop_block_practice.key_resp_block_practice.duration,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice.started,button_text_block_practice.started,mouse_block_practice.started,answer_block_practice.stopped,loop_practice.textbox_answer_block_practice.text,loop_practice.mouse_block_practice.x,loop_practice.mouse_block_practice.y,loop_practice.mouse_block_practice.leftButton,loop_practice.mouse_block_practice.midButton,loop_practice.mouse_block_practice.rightButton,loop_practice.mouse_block_practice.time,loop_practice.mouse_block_practice.clicked_name,num_correct,feedback_block_practice.started,text_feedback_block_practice.started,text_feedback_note_practice.started,key_resp.started,feedback_block_practice.stopped,loop_practice.key_resp.keys,loop_practice.key_resp.rt,loop_practice.key_resp.duration,continue_check.started,image_continue_check.started,key_resp_continue_check.started,continue_check.stopped,loop_practice.key_resp_continue_check.keys,loop_practice.key_resp_continue_check.rt,loop_practice.key_resp_continue_check.duration,primary_task_welcome.started,image_primary_welcome.started,key_resp_primary_welcome.started,primary_task_welcome.stopped,key_resp_primary_welcome.keys,key_resp_primary_welcome.rt,key_resp_primary_welcome.duration,text_fixation.stopped,block.started,image_block.started,key_resp_block.started,block.stopped,loop_block.key_resp_block.keys,loop_block.key_resp_block.rt,loop_block.key_resp_block.duration,answer_block.started,text_answer_block.started,textbox_answer_block.started,button_answer_block.started,mouse_answer_block.started,answer_block.stopped,loop_primary.textbox_answer_block.text,loop_primary.mouse_answer_block.x,loop_primary.mouse_answer_block.y,loop_primary.mouse_answer_block.leftButton,loop_primary.mouse_answer_block.midButton,loop_primary.mouse_answer_block.rightButton,loop_primary.mouse_answer_block.time,loop_primary.mouse_answer_block.clicked_name,feedback_block.started,text_feedback_block.started,text_feedback_block_note.started,key_resp_feedback_block.started,feedback_block.stopped,loop_primary.key_resp_feedback_block.keys,loop_primary.key_resp_feedback_block.rt,loop_primary.key_resp_feedback_block.duration,continue_check_block.started,text_continue_check_block.started,text_continue_prompt.started,key_resp_contiue_check_block.started,continue_check_block.stopped,loop_primary.key_resp_contiue_check_block.keys,loop_primary.key_resp_contiue_check_block.rt,loop_primary.key_resp_contiue_check_block.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010924957998213358,0.015841832999285543,0.015841832999285543,0.7358160829971894,space,0.6955502920027357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7358716659982747,0.7394367909982975,0.9361206659996242,0.9255909579987929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9256198329967447,0.9361206659996242,0.9361206659996242,1.4930430829990655,space,0.5531027920005727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4930982499972743,1.5199958749981306,,1.7040018329971645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
block_practice_1.xlsx,688,0,0,0,1,faces/HAM1.bmp,happy,male,begin,nonBI,non,non,begin,non,space,0.3724931659999129,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,2.718665415999567,,,,,,,,,3.105312415998924,3.11042845799966,3.3079136659980577,3.3042467499981285,,,,,,,,1.7109354159983923,1.7157778329965367,2.7043473329977132,2.7161833329992078,2.718665415999567,2.718665415999567,3.1052528749969497,space,0.3724931659999129,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
block_practice_1.xlsx,688,1,1,0,2,faces/NEF6.bmp,neutral,female,s,nonBI,happy,non,hn,hns1,space,0.2358480420007254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,3.3079136659980577,,,,,,,,,3.5466513329993177,3.5522606249978708,3.7415731659966696,3.73772199999803,,,,,,,,,,,3.3058792909978365,3.3079136659980577,3.3079136659980577,3.5465994579972175,space,0.2358480420007254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
block_practice_1.xlsx,688,2,2,0,3,faces/SAF2.bmp,sad,female,s,control,neutral,happy,ns,hns,space,0.23867120800059638,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,3.7415731659966696,,,,,,,,,3.9886115829976916,3.994134540997038,4.191690165996988,4.187603582999145,,,,,,,,,,,3.7393615410001075,3.7415731659966696,3.7415731659966696,3.9885343329988245,space,0.23867120800059638,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
block_practice_1.xlsx,688,3,3,0,4,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.19047483300164458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,4.191690165996988,,,,,,,,,4.388845165998646,4.394448082999588,4.592152207998879,4.5877628329981235,,,,,,,,,,,4.189114540997252,4.191690165996988,4.191690165996988,4.3887857499976235,space,0.19047483300164458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
block_practice_1.xlsx,688,4,4,0,5,faces/SAM1.bmp,sad,male,ns,nonBI,sad,sad,ss,non,space,0.22597408299770905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,4.592152207998879,,,,,,,,,4.822356707998551,4.825177040998824,5.026956290999806,5.020958874996722,,,,,,,,,,,4.589408582996839,4.592152207998879,4.592152207998879,4.822282290999283,space,0.22597408299770905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
block_practice_1.xlsx,688,5,5,0,6,faces/NEF9.bmp,neutral,female,s,nonBI,sad,sad,sn,sns1,space,0.18101237500013667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,5.026956290999806,,,,,,,,,5.210555374997057,5.219537582997873,5.421331124998687,5.40439937499832,,,,,,,,,,,5.022680540998408,5.026956290999806,5.026956290999806,5.210492124999291,space,0.18101237500013667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
block_practice_1.xlsx,688,6,6,0,7,faces/SAM6.bmp,sad,male,s,BI,neutral,sad,ns,sns,space,0.22135329100274248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,5.421331124998687,,,,,,,,,5.655686207999679,5.6611023749974265,5.859237165997911,5.854499207998742,,,,,,,,,,,5.416933665997931,5.421331124998687,5.421331124998687,5.65562454099927,space,0.22135329100274248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
block_practice_1.xlsx,688,7,7,0,8,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.2326187500002561,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,5.859237165997911,,,,,,,,,6.105468374997145,6.11053633299889,6.3081745829986176,6.304404208000051,,,,,,,,,,,5.856617374996858,5.859237165997911,5.859237165997911,6.105411582997476,space,0.2326187500002561,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
block_practice_1.xlsx,688,8,8,0,9,faces/NEM4.bmp,neutral,male,s,nonBI,sad,sad,sn,snh1,space,0.2207321249989036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,6.3081745829986176,,,,,,,,,6.530051249999815,6.536327499998151,6.725468290998833,6.721119290999923,,,,,,,,,,,6.305975874998694,6.3081745829986176,6.3081745829986176,6.530010332997335,space,0.2207321249989036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
block_practice_1.xlsx,688,9,9,0,10,faces/HAF59.bmp,happy,female,s,control,neutral,sad,nh,snh,space,0.19125254200116615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,6.725468290998833,,,,,,,,,6.922071082997718,6.924439790996985,7.133003040999029,7.120943707999686,,,,,,,,,,,6.722892082998442,6.725468290998833,6.725468290998833,6.921867749999365,space,0.19125254200116615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
block_practice_1.xlsx,688,10,10,0,11,faces/HAF107.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,space,0.22440549999737414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,7.133003040999029,,,,,,,,,7.359615040997596,7.369873999999982,7.558623249999073,7.554526165997231,,,,,,,,,,,7.129006749997643,7.133003040999029,7.133003040999029,7.359553415997652,space,0.22440549999737414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584303,001,2025-08-01_14h43.50.285,TIST,2024.2.4,None,2025-08-01 14h43.55.880839 +0800,
