block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,key_resp_block_practice.keys,key_resp_block_practice.rt,key_resp_block_practice.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,textbox_answer_block_practice1.text,textbox_answer_block_practice2.text,textbox_answer_block_practice3.text,mouse_block_practice.x,mouse_block_practice.y,mouse_block_practice.leftButton,mouse_block_practice.midButton,mouse_block_practice.rightButton,mouse_block_practice.time,mouse_block_practice.clicked_name,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,fixation.started,text_fixation.started,text_fixation.stopped,fixation.stopped,block_practice.started,image_block_practice.started,key_resp_block_practice.started,block_practice.stopped,loop_block_practice.key_resp_block_practice.keys,loop_block_practice.key_resp_block_practice.rt,loop_block_practice.key_resp_block_practice.duration,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice1.started,textbox_answer_block_practice2.started,textbox_answer_block_practice3.started,button_text_block_practice.started,mouse_block_practice.started,answer_block_practice.stopped,loop_practice.textbox_answer_block_practice1.text,loop_practice.textbox_answer_block_practice2.text,loop_practice.textbox_answer_block_practice3.text,loop_practice.mouse_block_practice.x,loop_practice.mouse_block_practice.y,loop_practice.mouse_block_practice.leftButton,loop_practice.mouse_block_practice.midButton,loop_practice.mouse_block_practice.rightButton,loop_practice.mouse_block_practice.time,loop_practice.mouse_block_practice.clicked_name,num_correct,feedback_block_practice.started,text_feedback_block_practice.started,text_feedback_note_practice.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007895458000007238,0.012237874999982523,0.012237874999982523,0.6199210830000084,space,0.5864387090000491,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6199729580000053,0.6235020830000053,0.8216868330000011,0.8189725830000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8190744579999887,0.8216868330000011,0.8216868330000011,1.3705728749999935,space,0.5392304999999737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3706090830000335,1.3817162080000003,1.5829322079999883,1.5696194580000338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,0,0,0,1,faces/HAM1.bmp,happy,male,begin,nonBI,non,non,begin,non,space,0.46920712499996853,None,0,0,0,0,,,,,,,,,,,0,0,0,0,2.5870711250000227,,,,,,,,,3.0587572080000314,3.068005625000012,3.2595835409999836,3.2530429160000267,,,,,,,,1.577306415999999,1.5829322079999883,2.5870711250000227,2.56970770800001,2.58448845800001,2.5870711250000227,2.5870711250000227,3.0586972080000123,space,0.46920712499996853,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,1,1,0,2,faces/NEF6.bmp,neutral,female,s,nonBI,happy,non,hn,hns1,space,0.17198591700002908,None,0,0,0,0,,,,,,,,,,,0,1,1,1,3.2595835409999836,,,,,,,,,3.4371538750000354,3.4400044999999864,3.6421911250000107,3.636268125000015,,,,,,,,,,,,3.2569366660000014,3.2595835409999836,3.2595835409999836,3.4371076660000313,space,0.17198591700002908,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,2,2,0,3,faces/SAF2.bmp,sad,female,s,control,neutral,happy,ns,hns,space,0.11993604199994934,None,0,0,0,0,,,,,,,,,,,0,2,2,2,3.6421911250000107,,,,,,,,,3.770364083000004,3.775862040999982,3.976954040999999,3.969666375000031,,,,,,,,,,,,3.639647625000009,3.6421911250000107,3.6421911250000107,3.770320666000032,space,0.11993604199994934,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,3,3,0,4,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.12951900000001615,None,0,0,0,0,,,,,,,,,,,0,3,3,3,3.976954040999999,,,,,,,,,4.107740583000009,4.118143833000033,4.308904332999987,4.303019708000022,,,,,,,,,,,,3.9734697910000136,3.976954040999999,3.976954040999999,4.107696291000025,space,0.12951900000001615,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,4,4,0,5,faces/SAM1.bmp,sad,male,ns,nonBI,sad,sad,ss,non,space,0.11285462499995447,None,0,0,0,0,,,,,,,,,,,0,4,4,4,4.308904332999987,,,,,,,,,4.424485875000016,4.434690416000024,4.625728958000025,4.619798624999987,,,,,,,,,,,,4.3063040000000115,4.308904332999987,4.308904332999987,4.424445250000019,space,0.11285462499995447,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,5,5,0,6,faces/NEF9.bmp,neutral,female,s,nonBI,sad,sad,sn,sns1,space,0.0655654589999699,None,0,0,0,0,,,,,,,,,,,0,5,5,5,4.625728958000025,,,,,,,,,4.703722416000005,4.708879333000027,4.922332041000004,4.903018958000018,,,,,,,,,,,,4.623423833000004,4.625728958000025,4.625728958000025,4.70368266600002,space,0.0655654589999699,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,6,6,0,7,faces/SAM6.bmp,sad,male,s,BI,neutral,sad,ns,sns,space,0.18731466599996338,None,0,0,0,0,,,,,,,,,,,0,6,6,6,4.922332041000004,,,,,,,,,5.119855291000022,5.12461087500003,5.325074833000031,5.319792124999992,,,,,,,,,,,,4.915862208000021,4.922332041000004,4.922332041000004,5.119806416000017,space,0.18731466599996338,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
