block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,key_resp_block_practice.keys,key_resp_block_practice.rt,key_resp_block_practice.duration,textbox_answer_block_practice1.text,textbox_answer_block_practice2.text,textbox_answer_block_practice3.text,mouse_block_practice.x,mouse_block_practice.y,mouse_block_practice.leftButton,mouse_block_practice.midButton,mouse_block_practice.rightButton,mouse_block_practice.time,mouse_block_practice.clicked_name,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_continue_check.keys,key_resp_continue_check.rt,key_resp_continue_check.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,fixation.started,text_fixation.started,text_fixation.stopped,fixation.stopped,block_practice.started,image_block_practice.started,key_resp_block_practice.started,block_practice.stopped,loop_block_practice.key_resp_block_practice.keys,loop_block_practice.key_resp_block_practice.rt,loop_block_practice.key_resp_block_practice.duration,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice1.started,textbox_answer_block_practice2.started,textbox_answer_block_practice3.started,button_text_block_practice.started,mouse_block_practice.started,answer_block_practice.stopped,loop_practice.textbox_answer_block_practice1.text,loop_practice.textbox_answer_block_practice2.text,loop_practice.textbox_answer_block_practice3.text,loop_practice.mouse_block_practice.x,loop_practice.mouse_block_practice.y,loop_practice.mouse_block_practice.leftButton,loop_practice.mouse_block_practice.midButton,loop_practice.mouse_block_practice.rightButton,loop_practice.mouse_block_practice.time,loop_practice.mouse_block_practice.clicked_name,num_correct,feedback_block_practice.started,text_feedback_block_practice.started,text_feedback_note_practice.started,key_resp.started,feedback_block_practice.stopped,loop_practice.key_resp.keys,loop_practice.key_resp.rt,loop_practice.key_resp.duration,continue_check.started,image_continue_check.started,key_resp_continue_check.started,continue_check.stopped,loop_practice.key_resp_continue_check.keys,loop_practice.key_resp_continue_check.rt,loop_practice.key_resp_continue_check.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009098166000001129,0.013129457999994543,0.013129457999994543,1.3460668329999947,space,1.3116302919999896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803148,001,2025-08-01_16h48.55.298,TIST,2024.2.4,None,2025-08-01 16h49.00.689038 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3461075000000022,1.3489247079999984,1.545620624999998,1.5432634579999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803148,001,2025-08-01_16h48.55.298,TIST,2024.2.4,None,2025-08-01 16h49.00.689038 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.543293165999998,1.545620624999998,1.545620624999998,2.0110417079999934,space,0.45313120800000206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803148,001,2025-08-01_16h48.55.298,TIST,2024.2.4,None,2025-08-01 16h49.00.689038 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0110995000000003,2.0228638330000024,2.2208146659999954,2.2100317909999916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803148,001,2025-08-01_16h48.55.298,TIST,2024.2.4,None,2025-08-01 16h49.00.689038 +0800,
block_practice_1.xlsx,688,0,0,0,1,faces/HAM1.bmp,happy,male,begin,nonBI,non,non,begin,non,space,0.3033482499999991,None,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3.2263547080000023,,,,,,,,,3.5320470409999984,3.5420682080000034,3.732105790999995,3.7269397909999924,,,,,,,,2.215599541000003,2.2208146659999954,3.2263547080000023,3.2101733749999966,3.2232642080000034,3.2263547080000023,3.2263547080000023,3.5319953329999976,space,0.3033482499999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803148,001,2025-08-01_16h48.55.298,TIST,2024.2.4,None,2025-08-01 16h49.00.689038 +0800,
block_practice_1.xlsx,688,1,1,0,2,faces/NEF6.bmp,neutral,female,s,nonBI,happy,non,hn,hns1,space,0.24726366699999858,None,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,3.732105790999995,,,,,,,,,3.9813052499999912,3.992055249999993,4.1828014999999965,4.176853541,,,,,,,,,,,,3.7296231250000034,3.732105790999995,3.732105790999995,3.9812642910000022,space,0.24726366699999858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803148,001,2025-08-01_16h48.55.298,TIST,2024.2.4,None,2025-08-01 16h49.00.689038 +0800,
block_practice_1.xlsx,688,2,2,0,3,faces/SAF2.bmp,sad,female,s,control,neutral,happy,ns,hns,space,0.20172329199999695,None,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,4.1828014999999965,,,,,,,,,4.394539374999994,4.399252707999992,4.598798040999995,4.593671624999999,,,,,,,,,,,,4.1804923329999895,4.1828014999999965,4.1828014999999965,4.394494874999992,space,0.20172329199999695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803148,001,2025-08-01_16h48.55.298,TIST,2024.2.4,None,2025-08-01 16h49.00.689038 +0800,
block_practice_1.xlsx,688,3,3,0,4,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.22098987500000078,None,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,4.598798040999995,,,,,,,,,4.827489374999999,4.831924540999992,5.031929832999992,5.026999790999994,,,,,,,,,,,,4.596083082999996,4.598798040999995,4.598798040999995,4.827447165999999,space,0.22098987500000078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803148,001,2025-08-01_16h48.55.298,TIST,2024.2.4,None,2025-08-01 16h49.00.689038 +0800,
block_practice_1.xlsx,688,4,4,0,5,faces/SAM1.bmp,sad,male,ns,nonBI,sad,sad,ss,non,space,0.1821233750000033,None,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,5.031929832999992,,,,,,,,,5.215913040999993,5.225754791,5.415294332999991,5.410261540999997,,,,,,,,,,,,5.0295344580000005,5.031929832999992,5.031929832999992,5.215869249999997,space,0.1821233750000033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803148,001,2025-08-01_16h48.55.298,TIST,2024.2.4,None,2025-08-01 16h49.00.689038 +0800,
block_practice_1.xlsx,688,5,5,0,6,faces/NEF9.bmp,neutral,female,s,nonBI,sad,sad,sn,sns1,space,0.19817133300000478,None,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,5.415294332999991,,,,,,,,,5.61550862499999,5.625618457999991,5.838572040999992,5.810301291000002,,,,,,,,,,,,5.413105415999993,5.415294332999991,5.415294332999991,5.615470790999993,space,0.19817133300000478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803148,001,2025-08-01_16h48.55.298,TIST,2024.2.4,None,2025-08-01 16h49.00.689038 +0800,
