block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,key_resp_block_practice.keys,key_resp_block_practice.rt,key_resp_block_practice.duration,textbox_answer_block_practice1.text,textbox_answer_block_practice2.text,textbox_answer_block_practice3.text,mouse_block_practice.x,mouse_block_practice.y,mouse_block_practice.leftButton,mouse_block_practice.midButton,mouse_block_practice.rightButton,mouse_block_practice.time,mouse_block_practice.clicked_name,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_continue_check.keys,key_resp_continue_check.rt,key_resp_continue_check.duration,block_file,key_resp_block.keys,key_resp_block.rt,key_resp_block.duration,textbox_answer_block1.text,textbox_answer_block2.text,textbox_answer_block3.text,mouse_answer_block.x,mouse_answer_block.y,mouse_answer_block.leftButton,mouse_answer_block.midButton,mouse_answer_block.rightButton,mouse_answer_block.time,mouse_answer_block.clicked_name,key_resp_feedback_block.keys,key_resp_feedback_block.rt,key_resp_feedback_block.duration,key_resp_contiue_check_block.keys,key_resp_contiue_check_block.rt,key_resp_contiue_check_block.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,loop_primary.thisRepN,loop_primary.thisTrialN,loop_primary.thisN,loop_primary.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,refresh.stopped,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,text_refresh.stopped,fixation.started,text_fixation.started,text_fixation.stopped,fixation.stopped,block_practice.started,image_block_practice.started,key_resp_block_practice.started,block_practice.stopped,loop_block_practice.key_resp_block_practice.keys,loop_block_practice.key_resp_block_practice.rt,loop_block_practice.key_resp_block_practice.duration,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice1.started,textbox_answer_block_practice2.started,textbox_answer_block_practice3.started,button_text_block_practice.started,mouse_block_practice.started,answer_block_practice.stopped,loop_practice.textbox_answer_block_practice1.text,loop_practice.textbox_answer_block_practice2.text,loop_practice.textbox_answer_block_practice3.text,loop_practice.mouse_block_practice.x,loop_practice.mouse_block_practice.y,loop_practice.mouse_block_practice.leftButton,loop_practice.mouse_block_practice.midButton,loop_practice.mouse_block_practice.rightButton,loop_practice.mouse_block_practice.time,loop_practice.mouse_block_practice.clicked_name,num_correct,feedback_block_practice.started,text_feedback_block_practice.started,text_feedback_note_practice.started,key_resp.started,feedback_block_practice.stopped,loop_practice.key_resp.keys,loop_practice.key_resp.rt,loop_practice.key_resp.duration,continue_check.started,image_continue_check.started,key_resp_continue_check.started,continue_check.stopped,loop_practice.key_resp_continue_check.keys,loop_practice.key_resp_continue_check.rt,loop_practice.key_resp_continue_check.duration,primary_task_welcome.started,image_primary_welcome.started,key_resp_primary_welcome.started,primary_task_welcome.stopped,key_resp_primary_welcome.keys,key_resp_primary_welcome.rt,key_resp_primary_welcome.duration,block.started,image_block.started,key_resp_block.started,block.stopped,loop_block.key_resp_block.keys,loop_block.key_resp_block.rt,loop_block.key_resp_block.duration,answer_block.started,text_answer_block.started,textbox_answer_block1.started,textbox_answer_block2.started,textbox_answer_block3.started,button_answer_block.started,mouse_answer_block.started,answer_block.stopped,loop_primary.textbox_answer_block1.text,loop_primary.textbox_answer_block2.text,loop_primary.textbox_answer_block3.text,loop_primary.mouse_answer_block.x,loop_primary.mouse_answer_block.y,loop_primary.mouse_answer_block.leftButton,loop_primary.mouse_answer_block.midButton,loop_primary.mouse_answer_block.rightButton,loop_primary.mouse_answer_block.time,loop_primary.mouse_answer_block.clicked_name,feedback_block.started,text_feedback_block.started,text_feedback_block_note.started,key_resp_feedback_block.started,feedback_block.stopped,loop_primary.key_resp_feedback_block.keys,loop_primary.key_resp_feedback_block.rt,loop_primary.key_resp_feedback_block.duration,continue_check_block.started,text_continue_check_block.started,text_continue_prompt.started,key_resp_contiue_check_block.started,continue_check_block.stopped,loop_primary.key_resp_contiue_check_block.keys,loop_primary.key_resp_contiue_check_block.rt,loop_primary.key_resp_contiue_check_block.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009275000000116052,0.013954291000118246,0.013954291000118246,0.8043624580000142,space,0.7652015829999073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8044254579999688,0.8232559160001074,1.006328625000151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.006359916000065,1.0180384160000813,1.0180384160000813,1.6540442079999593,space,0.6301232910000181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6540878329999487,1.6650917910001226,1.8523971250001523,,,,,,,,1.8642997910001213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
block_practice_1.xlsx,688,0,0,0,1,faces/HAM1.bmp,happy,male,begin,nonBI,non,non,begin,non,space,0.7023287919998893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,2.8694545410000956,,,,,,,,,3.5748952080000436,3.5848502080000344,3.769527165999989,,,,,,,,3.7753587080001125,1.859285624999984,1.8642997910001213,2.8694545410000956,2.852896249999958,2.8665769159999854,2.8694545410000956,2.8694545410000956,3.57483666600001,space,0.7023287919998893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
block_practice_1.xlsx,688,1,1,0,2,faces/NEF6.bmp,neutral,female,s,nonBI,happy,non,hn,hns1,space,0.6341017909999209,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,3.7753587080001125,,,,,,,,,4.42077333300017,4.42673149999996,4.619526833000009,,,,,,,,4.626164833000075,,,,,3.7728163750000476,3.7753587080001125,3.7753587080001125,4.420712166000158,space,0.6341017909999209,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
block_practice_1.xlsx,688,2,2,0,3,faces/SAF2.bmp,sad,female,s,control,neutral,happy,ns,hns,space,0.622654250000096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,4.626164833000075,,,,,,,,,5.253389125000012,5.258440583000038,5.453109250000125,,,,,,,,5.459520791000159,,,,,4.623415333000139,4.626164833000075,4.626164833000075,5.2533458330001395,space,0.622654250000096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
block_practice_1.xlsx,688,3,3,0,4,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.5393044999998438,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,5.459520791000159,,,,,,,,,6.003854000000047,6.006548083000098,6.203040290999979,,,,,,,,6.207930540999996,,,,,5.456920500000024,5.459520791000159,5.459520791000159,6.003746041000113,space,0.5393044999998438,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
block_practice_1.xlsx,688,4,4,0,5,faces/SAM1.bmp,sad,male,ns,nonBI,sad,sad,ss,non,space,0.46529029100020125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,6.207930540999996,,,,,,,,,6.67471733299999,6.685051291000036,6.869762125000079,,,,,,,,6.875940458000059,,,,,6.205329375000019,6.207930540999996,6.207930540999996,6.674658500000078,space,0.46529029100020125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
block_practice_1.xlsx,688,5,5,0,6,faces/NEF9.bmp,neutral,female,s,nonBI,sad,sad,sn,sns1,space,0.41284295800005566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,6.875940458000059,,,,,,,,,7.290702041000031,7.301704624999957,7.4864425000000665,,,,,,,,7.503102708000142,,,,,6.873418165999965,6.875940458000059,6.875940458000059,7.2906611660000635,space,0.41284295800005566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
block_practice_1.xlsx,688,6,6,0,7,faces/SAM6.bmp,sad,male,s,BI,neutral,sad,ns,sns,space,0.44607350000001134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,7.503102708000142,,,,,,,,,7.954253290999986,7.959702332999996,8.15328554100006,,,,,,,,8.157850958000154,,,,,7.498700666000104,7.503102708000142,7.503102708000142,7.954195958000128,space,0.44607350000001134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
block_practice_1.xlsx,688,7,7,0,8,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.3479636660001688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,8.157850958000154,,,,,,,,,8.508315750000065,8.518347166000012,8.70310987500011,,,,,,,,8.708725166000022,,,,,8.155137291000074,8.157850958000154,8.157850958000154,8.50827095800014,space,0.3479636660001688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
block_practice_1.xlsx,688,8,8,0,9,faces/NEM4.bmp,neutral,male,s,nonBI,sad,sad,sn,snh1,space,0.30292325000004894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,8.708725166000022,,,,,,,,,9.020206416000065,9.024735166000028,9.219948916000021,,,,,,,,9.22541445800016,,,,,8.706299958000045,8.708725166000022,8.708725166000022,9.020160540999996,space,0.30292325000004894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
block_practice_1.xlsx,688,9,9,0,10,faces/HAF59.bmp,happy,female,s,control,neutral,sad,nh,snh,space,0.22387987499996598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,9.22541445800016,,,,,,,,,9.454504457999974,9.45753645800005,9.653115208000145,,,,,,,,9.666453457999978,,,,,9.222875749999957,9.22541445800016,9.22541445800016,9.454454666000174,space,0.22387987499996598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
block_practice_1.xlsx,688,10,10,0,11,faces/HAF107.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,space,0.33779824999987795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,9.666453457999978,,,,,,,,,10.007516125000166,10.018535916000019,10.203482708000138,,,,,,,,10.209963125000058,,,,,9.663094208000075,9.666453457999978,9.666453457999978,10.00746679100007,space,0.33779824999987795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
block_practice_1.xlsx,688,11,11,0,12,faces/HAM9.bmp,happy,male,ns,nonBI,happy,happy,hh,non,space,0.2881642089998877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,10.209963125000058,,,,,,,,,10.504293707999977,10.509964916000172,10.703165125000169,,,,,,,,10.708926499999961,,,,,10.207156375000068,10.209963125000058,10.209963125000058,10.504240582999955,space,0.2881642089998877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875190,001,2025-08-01_17h49.04.962,TIST,2024.2.4,None,2025-08-01 17h49.11.127063 +0800,
