block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,key_resp_block_practice.keys,key_resp_block_practice.rt,key_resp_block_practice.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,textbox_answer_block_practice1.text,textbox_answer_block_practice2.text,textbox_answer_block_practice3.text,mouse_block_practice.x,mouse_block_practice.y,mouse_block_practice.leftButton,mouse_block_practice.midButton,mouse_block_practice.rightButton,mouse_block_practice.time,mouse_block_practice.clicked_name,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,fixation.started,text_fixation.started,text_fixation.stopped,fixation.stopped,block_practice.started,image_block_practice.started,key_resp_block_practice.started,block_practice.stopped,loop_block_practice.key_resp_block_practice.keys,loop_block_practice.key_resp_block_practice.rt,loop_block_practice.key_resp_block_practice.duration,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice1.started,textbox_answer_block_practice2.started,textbox_answer_block_practice3.started,button_text_block_practice.started,mouse_block_practice.started,answer_block_practice.stopped,loop_practice.textbox_answer_block_practice1.text,loop_practice.textbox_answer_block_practice2.text,loop_practice.textbox_answer_block_practice3.text,loop_practice.mouse_block_practice.x,loop_practice.mouse_block_practice.y,loop_practice.mouse_block_practice.leftButton,loop_practice.mouse_block_practice.midButton,loop_practice.mouse_block_practice.rightButton,loop_practice.mouse_block_practice.time,loop_practice.mouse_block_practice.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009339665999959834,0.013680290999900535,0.013680290999900535,0.6304985829999623,space,0.5962228330001835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6305490830000053,0.6343681250000373,0.8313581659999727,0.8286080829998355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8286368330000187,0.8313581659999727,0.8313581659999727,1.4656187909999971,space,0.6334062920000179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4656549579999592,1.47679949999997,1.6747038749999774,1.6619169579998925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,0,0,0,1,faces/HAM1.bmp,happy,male,begin,nonBI,non,non,begin,non,space,0.361680750000005,None,0,0,0,0,,,,,,,,,,,0,0,0,0,2.679677374999983,,,,,,,,,3.0465139999998883,3.0501497079999353,3.252420915999892,3.2454759580000427,,,,,,,,1.6690727079999306,1.6747038749999774,2.679677374999983,2.662375249999968,2.67760470799999,2.679677374999983,2.679677374999983,3.046457165999982,space,0.361680750000005,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,1,1,0,2,faces/NEF6.bmp,neutral,female,s,nonBI,happy,non,hn,hns1,space,0.28410187500003303,None,0,0,0,0,,,,,,,,,,,0,1,1,1,3.252420915999892,,,,,,,,,3.5466101659999367,3.5536847079999916,3.751980083000035,3.7456787500000246,,,,,,,,,,,,3.2495617079998738,3.252420915999892,3.252420915999892,3.5465613329999996,space,0.28410187500003303,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,2,2,0,3,faces/SAF2.bmp,sad,female,s,control,neutral,happy,ns,hns,space,0.2641126669998357,None,0,0,0,0,,,,,,,,,,,0,2,2,2,3.751980083000035,,,,,,,,,4.017704999999978,4.027066124999919,4.2184643749999395,4.21239566600002,,,,,,,,,,,,3.749413415999925,3.751980083000035,3.751980083000035,4.017654708000009,space,0.2641126669998357,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,3,3,0,4,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.23223379199998817,None,0,0,0,0,,,,,,,,,,,0,3,3,3,4.2184643749999395,,,,,,,,,4.463189165999893,4.468670040999996,4.667460165999955,4.662138874999982,,,,,,,,,,,,4.215848249999908,4.2184643749999395,4.2184643749999395,4.463142915999924,space,0.23223379199998817,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,4,4,0,5,faces/SAM1.bmp,sad,male,ns,nonBI,sad,sad,ss,non,space,0.23357145799991486,None,0,0,0,0,,,,,,,,,,,0,4,4,4,4.667460165999955,,,,,,,,,4.9132188329999735,4.918578083000057,5.118270291000044,5.112311999999974,,,,,,,,,,,,4.664999124999895,4.667460165999955,4.667460165999955,4.913173749999942,space,0.23357145799991486,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,5,5,0,6,faces/NEF9.bmp,neutral,female,s,nonBI,sad,sad,sn,sns1,space,0.23225887500007047,None,0,0,0,0,,,,,,,,,,,0,5,5,5,5.118270291000044,,,,,,,,,5.363132749999977,5.368300874999932,5.588234749999856,5.562286832999916,,,,,,,,,,,,5.1160523329999705,5.118270291000044,5.118270291000044,5.363090915999919,space,0.23225887500007047,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
